"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,1395,1400,1395,1395,1375,1375,1350,1350,1350,1350,1350,1362.5,1395,1400,1400,1400,1390,1375,1396.5,1475,1500,1495,1450,1477.5,1445,1449.5,1450,1450,1450,1400,1400,1400,1450,1397.5,1450,1400,1380,1400,1450,1485,1450,1500,1495,1492.5,1500,1445,1450,1450,1400,1450,1515,1550,1530,1495,1495,1498,1500,1425,1550,1450,1595,1572.5,1550
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,1050,999.5,975,1000,1000,1000,1000,950,977.5,1050,1067.5,1100,1100,1100,1095,1050,995,999,997,1099,1100,1100,1099,1050,1060,1055,1112.5,1150,1100,1100,1095,1095,1100,1100,1150,1150,1150,1137.5,1100,1100,1150,1150,1100,1100,1100,1100,1149,1200,1197.5,1175,1160,1150,1150,1150,1100,1150,1200,1197.5,1200,1195,1197.5,1197.5,1195,1225,1200,1187.5,1250,1200,1200
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",3,,,,,1437.5,1400,1495,1500,1495,1497.5,1495,1450,1450,1362.5,1350,1395,1395,1400,1395,1385,1350,1350,1300,1300,1350,1350,1362.5,1450,1475,1400,1392.5,1375,1395,1395,1395,1397.5,1395,1400,1400,1400,1450,1422.5,1400,1400,1450,1400,1400,1450,1495,1497.5,1450,1497,1490,1475,1495,1498.5,1450,1450,1495,1450,1495,1500,1550,1497,1537.5,1600,1550,1490,1495,1525,1500,1495,1495,1500,1600
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",4,2044.5,2050,2150,1900,1800,1800,1800,1950,1800,1920,1950,1800,1800,2000,1795,1772.5,1850,2000,1895,1850,1700,1583,1675,1600,1775,1797.5,1750,1700,1695,1550,1772.5,1772.5,1800,1797.5,1795,1822.5,1850,1822.5,1775,1762.5,2000,2000,1925,1850,1850,1850,1950,2100,2050,2150,2200,2200,2097.5,2012.5,1987.5,1985,1850,1925,1825,2000,1995,2000,2222.5,1925,2250,2100,2100,1850,2125,1875,1895,1887.5,2050,2025,2147.5
"Washington Heights","New York","NY","New York","New York",5,,,,,,,,,,,,,,,2500,2597.5,2650,2695,2672.5,2750,2700,2672.5,2600,2695,2672.5,2750,2700,2700,2700,2695,2800,2800,2797.5,2750,2800,2725,2895,2900,2900,2950,3000,3047.5,3000,3000,2900,3100,2995,2995,3000,2999.5,3000,3000,2999.5,2999.5,3100,3195,3195,3000,3000,3000,3100,3100,3132.5,3200,3200,3100,3200,3250,3095,2997,3091.5,3000,3100,3083,3000
"Williamsburg","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,3999,3495,3495,3495,3600,4000,4000,4000,4000,4000,4200,4000,4000,4000,3800,3800,3800,3900,4000,4250,4500,4800,4899.5,4700,4550,4650,4500,4474.5,4450,4600,4795,4500,4800,4750,4795,4800,4200,4200,4250,4400,4520,4699,4947,4995,4700,4250,4650,4997,4900,4675,4475,4665,4428,4422
"Bedford Stuyvesant","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3200,3200,3225,3300,3200,3200,3200,3197.5,3200,3100,3100,3100,3149,3200,3250,3350,3390,3350,3300,3250,3250,3200,3225,3200,3200,3200,3300,3495,3500,3450,3498,3400,3400,3400,3300,3300,3500,3600,3600,3665,3600,3800,3600,3395,3350,3499,3450
"Flatbush","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2699,2695,2695,2600,2600,2600,2900,2562.5,2575,2800,3000,2800,2800,2800,2600,2800,2500,2500,2699.5,2800,2800,2800,2900,3000,3000,3000,3100,3124.5,2999,3000,3000,3100,3100,3125,3000,2700,3000,2769,2800
"Crown Heights","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,2600,2500,2650,2800,3000,3200,3200,3200,3499,3299,3150,3000,3100,3199,3125,3197,3324.5,3500,3250,3250,3249.5,3800,3700,3450,3250,3350,3229,3395,3199,3300,3375,3397,3547.5,3800,3700,3499,3499,3500,3500,3599.5,3499,3500,3600,3724.5,3649,3848,3500,3700,3749.5,3687,3497
"Bushwick","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,2800,2800,2800,2800,2800,2499,2500,2700,2700,2500,2525,2650,2850,2850,3100,3100,3000,3199,3398.5,3599,3500,3450,3250,3300,3300,3379.5,3399,3599,3300,3300,3392,3399,3300,3200,3200,3300,3300,3250,3395,3499,3599.5,3600,3600,3599,3555.5,3580,3580,3500,3600,3600,3599,3599,3500,3500,3599,3700,3700,3600,3650,3399,3400
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",11,,2899.5,2850,3000,3000,3000,3000,3050,2962.5,3000,2825,2650,2500,2775,2850,2995,2975,2995,3042.5,3085,3300,2889,2800,2750,2680,2650,2700,2700,2695,2725,2500,2600,2772.5,2875,2650,2525,2500,2700,2600,2800,2800,2899,2899,2825,2750,3000,2950,2850,2750,3200,3100,3450,3400,3400,3499,3000,2800,2797.5,3150,3250,3250,3400,3500,3475,2972.5,3000,3000,3100,2887.5,2975,3000,2975,3274.5,2997.5,3000
"Enterprise","Las Vegas","NV","Las Vegas","Clark",12,1500,1500,1500,1450,1549.5,1425,1395,1395,1450,1375,1350,1385,1395,1377.5,1395,1495,1400,1400,1395,1450,1395,1400,1400,1397.5,1350,1395,1395,1395,1450,1400,1395,1425,1450,1400,1395,1350,1350,1350,1395,1395,1450,1495,1475,1495,1512.5,1495,1495,1400,1450,1450,1450,1495,1450,1495,1512.5,1517.5,1500,1550,1595,1595,1597.5,1600,1650,1650,1525,1600,1495,1495,1462.5,1450,1585,1450,1550,1595,1600
"Northwest","El Paso","TX","El Paso","El Paso",13,,,,,1800,1750,1600,1600,1700,1700,1587.5,1800,1800,1700,1800,1800,1700,1550,1662.5,1800,1850,1825,1790,1700,1700,1700,1595,1700,1750,1695,1550,1600,1622.5,1645,1600,1600,1600,1575,1550,1600,1785,1750,1795,1662.5,1600,1600,1600,1700,1725,1750,1737.5,1750,1650,1650,1600,1750,1600,1695,1600,1625,1600,1600,1600,1625,1750,1700,1697,1700,1550,1600,1550,1600,1590,1600,1575
"East Village","New York","NY","New York","New York",14,,,,,,4600,4887.5,4995,4800,4797.5,4800,4797.5,5000,5200,5000,4847.5,5000,5150,5200,5400,5372.5,5250,5200,5100,5195,5195,5100,5195,5200,5100,5250,5225,5200,5100,5195,5100,5200,5280,5300,5395,5500,5600,5900,5739,5739,5739,5739,5739,5739,5600,5600,5800,5600,5600,5747.5,6000,6000,6000,5680,5450,5500,5495,5497.5,5625,5800,5797.5,5800,5995,5624.5,5550,5350,5500,5812.5,5834,5997.5
"Ridgewood","New York","NY","New York","Queens",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3200,3200,3300,3385,3400,3395,3300,3300,3499,3400,3495,3387,3499,3550,3550,3550,3595,3500,3400,3400,3510,3600,3600,3600,3200,3399,3397
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",16,,,,,1672.5,1850,1900,1850,1700,1850,1700,1900,1750,1650,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1750,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1800,1890,1972.5,1895,1900,1895,1850,1795,1772.5,1750,1850,1900
"Jamaica Plain","Boston","MA","Boston","Suffolk",17,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3100,3000,3000,3100,3100,3200,3200,3000,2975,3200,3200,3100,3100,3100,3100,3200,3100,3000,2925,3000,3000,3200,3325,3300,3325,3362.5,3400,3200,3200,3125,3000,2925,3000,3250,3500,3500,3400,3400,3400,3400,3400,3400,3300,3000,3200,3300,3500,3500,3600
"Brighton","Boston","MA","Boston","Suffolk",18,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2700,2650,2650,2750,2800,2750,2700,2650,2800,2800,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,2950,2950,2950,2999,3000,3000,3100,3100,3100,3100,3100,3200,3199,3200,3200,3200,3100,3199,3200,3200,3100,3150,3100,3050,3000,3085,3150,3200,3200,3200,3300,3300,3325,3300,3225,3250,3200,3200,3200,3400,3400,3400
"North Dorchester","Boston","MA","Boston","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2850,2900,2900,2900,3000,2800,2800,2800,2600,2450,2700,3000,3000,3000
"Allston","Boston","MA","Boston","Suffolk",20,,,2850,2800,2800,2750,2700,2650,2750,2600,2525,2900,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,3000,3000,3100,3100,3050,3050,3050,3000,3000,3000,2995,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3100,3200,3300,3400,3300,3300,3300,3200,3200,3200,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3400,3200,3200,3200,3100,3550,3600,3600,3600
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",21,,,,,,,,,,,,,2400,2300,2300,2230,2200,2100,2000,2000,2000,2147.5,2200,2400,2260,2300,2380,2360,2200,2150,2000,2000,1950,2200,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2150,2000,2000,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2100,2000,2100,2200,2400,2400,2250,2300,2200
"Mission Hill","Boston","MA","Boston","Suffolk",22,,,,,,,,,,,,3600,3400,3400,3300,3250,3250,3350,3300,3300,3400,3400,3400,3462.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3750,3800,3800,3800,3800,3800,3850,3800,3800,3700,3650,3750,3800,4000,4000,4000,3900,3900,3850,3850,3800,3675,3600,3600,3800,4000,4100,4100,4000,4000,3999,3900,3800,3800,3650,3500,3712.5,4000,4200,4200,4200
"Alafaya","Orlando","FL","Orlando","Orange",23,,,,,1595,1566,1595,1578,1495,1400,1425,1495,1500,1500,1500,1550,1512.5,1500,1500,1500,1500,1550,1550,1500,1500,1550,1550,1575,1595,1562.5,1595,1625,1595,1595,1595,1595,1595,1595,1572.5,1595,1600,1650,1595,1600,1600,1600,1575,1585,1585,1600,1600,1650,1700,1650,1700,1695,1625,1612.5,1625,1698,1685,1675,1650,1650,1675,1675,1700,1737.5,1675,1600,1700,1675,1764.5,1812.5,1750
